code_from,code_to,ccmathstandard_id,ccmathstandard_id_other
4.NF.C.7,5.NBT.A.3,192,216
4.OA.A.1,5.NF.B.3,193,227
4.OA.A.1,5.NF.B.5,193,232
4.OA.A.1,5.NF.B.6,193,239
4.OA.A.2,4.NF.A.1,194,170
4.OA.A.2,4.NF.B.4.a,194,187
4.OA.A.2,5.NF.B.3,194,227
4.OA.A.2,5.NF.B.5,194,232
4.OA.A.2,5.NF.B.6,194,239
4.OA.A.2,6.RP.A.1,194,288
4.OA.A.2,6.RP.A.2,194,291
4.OA.A.2,8.EE.A.3,194,397
4.OA.A.3,7.NS.A.3,196,349
4.OA.B.4,6.EE.A.1,197,249
4.OA.B.4,6.NS.B.4,197,275
4.OA.C.5,5.OA.B.3,198,248
5.G.A.1,6.NS.C.6.b,199,279
5.G.A.1,6.NS.C.6.c,199,280
5.G.A.2,6.G.A.3,200,266
5.G.A.2,6.NS.C.8,200,286
5.G.A.2,6.RP.A.3.a,200,295
5.G.B.3,5.G.B.4,201,202
5.MD.B.2,6.SP.A.1,204,299
5.MD.B.2,6.SP.A.2,204,300
5.MD.B.2,6.SP.B.4,204,302
5.MD.C.3,5.MD.C.4,205,208
5.MD.C.3,5.MD.C.5.a,205,210
5.MD.C.3,5.MD.C.5.c,205,212
5.MD.C.4,5.MD.C.5.a,208,210
5.MD.C.5.a,5.MD.C.5.b,210,211
5.MD.C.5.a,6.G.A.2,210,265
5.MD.C.5.b,5.MD.C.5.c,211,212
5.MD.C.5.b,6.G.A.2,211,265
5.NBT.A.1,5.NBT.A.2,214,215
5.NBT.A.1,5.NBT.A.3,214,216
5.NBT.A.1,5.NBT.A.4,214,219
5.NBT.A.1,5.NBT.B.5,214,220
5.NBT.A.1,5.NBT.B.6,214,221
5.NBT.A.1,5.NBT.B.7,214,222
5.NBT.A.2,6.EE.A.1,215,249
5.NBT.A.2,8.EE.A.3,215,397
5.NBT.A.3,5.NBT.A.4,216,219
5.NBT.B.5,5.NBT.B.6,220,221
5.NBT.B.5,6.NS.B.3,220,274
5.NBT.B.6,6.NS.B.2,221,273
5.NBT.B.6,6.NS.B.3,221,274
5.NBT.B.7,5.MD.A.1,222,203
